"Exchange Rate (XR) by Country, Indicator and Month"

"Country","Month","Exchange Rate, NCU per Euro"
"Armenia","2015M09",539.7987
"Armenia","2015M10",530.8914
"Armenia","2015M11",515.5091
"Armenia","2015M12",525.2665
"Armenia","2016M01",527.8483
"Armenia","2016M02",547.5784
"Armenia","2016M03",539.8268
"Armenia","2016M04",545.7200
"Armenia","2016M05",541.0786
"Armenia","2016M06",536.1855
"Armenia","2016M07",527.4167
"Armenia","2016M08",533.0721
"Armenia","2016M09",531.5661
"Armenia","2016M10",524.0432
"Armenia","2016M11",516.7549
"Armenia","2016M12",509.0530
"Armenia","2017M01",515.8781
"Armenia","2017M02",517.7810
"Armenia","2017M03",518.0380
"Armenia","2017M04",520.2009
"Armenia","2017M05",534.5156
"Armenia","2017M06",540.7259
"Armenia","2017M07",551.4476
"Armenia","2017M08",565.0700
"Armenia","2017M09",569.8022
"Armenia","2017M10",565.1802
"Armenia","2017M11",569.7404
"Armenia","2017M12",571.8800
"Armenia","2018M01",588.5073
"Armenia","2018M02",594.3567
"Armenia","2018M03",592.6633
"Armenia","2018M04",590.9067
"Armenia","2018M05",571.8014
"Armenia","2018M06",563.6147
"Armenia","2018M07",562.6193
"Armenia","2018M08",557.1383
"Armenia","2018M09",564.0937
"Armenia","2018M10",556.8782
"Armenia","2018M11",552.7709
"Armenia","2018M12",551.7651
"Armenia","2019M01",554.6208
"Armenia","2019M02",554.3859
"Armenia","2019M03",550.9460
"Armenia","2019M04",544.2630
"Armenia","2019M05",537.4673
"Armenia","2019M06",540.3377
"Armenia","2019M07",534.5488
"Armenia","2019M08",529.5970
"Armenia","2019M09",524.0254
"Armenia","2019M10",526.4190
"Armenia","2019M11",527.2158
"Armenia","2019M12",531.4959
"Armenia","2020M01",531.9285
"Armenia","2020M02",522.0705
"Armenia","2020M03",540.9986
"Armenia","2020M04",530.8024
"Armenia","2020M05",527.7680
"Armenia","2020M06",541.6673
"Armenia","2020M07",555.5952
"Armenia","2020M08",574.2714
"Armenia","2020M09",573.9212
"Armenia","2020M10",579.0632
"Armenia","2020M11",591.4808
"Armenia","2020M12",631.5089
"Armenia","2021M01",634.3662
"Armenia","2021M02",633.3626
"Armenia","2021M03",627.8764
"Armenia","2021M04",629.6331
"Armenia","2021M05",633.2497
"Armenia","2021M06",618.1079
"Armenia","2021M07",580.2971
"Armenia","2021M08",578.8506
"Armenia","2021M09",574.5337
"Armenia","2021M10",555.9695
"Armenia","2021M11",545.2081
"Armenia","2021M12",548.3657
"Armenia","2022M01",545.3573
"Armenia","2022M02",544.6790
"Armenia","2022M03",547.6104
"Armenia","2022M04",509.5681
"Armenia","2022M05",482.9547
"Armenia","2022M06",446.6322
"Armenia","2022M07",418.3912
"Armenia","2022M08",410.9729
"Armenia","2022M09",405.2241
"Armenia","2022M10",395.7224
"Armenia","2022M11",403.3274
